number,value,datetime_start,datetime_complete,duration,params_bagging_fraction,params_bagging_freq,params_boosting_type,params_early_stopping_rounds,params_feature_fraction,params_lambda_l1,params_lambda_l2,params_learning_rate,params_max_depth,params_min_data_in_leaf,params_n_estimators,params_num_leaves,state
24,432289.33314146975,2025-10-12 17:29:54.917589,2025-10-12 17:30:00.121608,0 days 00:00:05.204019,0.5405447404523922,4,gbdt,57,0.9368945936906427,2.54227553242859,6.838504442267,0.015882867955618312,8,30,1494,56,COMPLETE
25,403814.94316369924,2025-10-12 17:30:00.122224,2025-10-12 17:30:03.541003,0 days 00:00:03.418779,0.589199793111449,2,gbdt,74,0.9111604506287494,3.8306008523732977,5.519993579136147,0.055307243329177504,7,14,1238,26,COMPLETE
26,7455984.673258506,2025-10-12 17:30:03.541555,2025-10-12 17:30:18.979584,0 days 00:00:15.438029,0.6527178021938167,2,dart,76,0.9131039322787193,3.615591141618143,5.422665212449045,0.05809636931662629,6,18,1237,20,COMPLETE
27,422492.90895793226,2025-10-12 17:30:18.980425,2025-10-12 17:30:20.934376,0 days 00:00:01.953951,0.5236177492821812,3,gbdt,72,0.9607755270284595,1.1516414442957654,7.1189148133245705,0.2870510804861334,7,29,1339,30,COMPLETE
28,419701.6772756248,2025-10-12 17:30:20.935007,2025-10-12 17:30:23.770868,0 days 00:00:02.835861,0.7046211778194197,2,gbdt,85,0.8016439195217535,5.468218718210152,9.0745736252454,0.12919802880764694,4,37,1053,41,COMPLETE
29,6165520.978071695,2025-10-12 17:30:23.771683,2025-10-12 17:30:31.312226,0 days 00:00:07.540543,0.8690890950588869,10,dart,64,0.6643287375149558,3.902897697766469,4.824649191318452,0.08113320911808299,10,48,771,34,COMPLETE
30,433193.16150207573,2025-10-12 17:30:31.312814,2025-10-12 17:30:35.645349,0 days 00:00:04.332535,0.7570200253995716,3,gbdt,91,0.9712843771283903,4.349932523950818,3.189886674149613,0.049246049489674544,5,56,1188,24,COMPLETE
31,408849.8378669688,2025-10-12 17:30:35.645922,2025-10-12 17:30:41.638999,0 days 00:00:05.993077,0.5873578614894603,4,gbdt,65,0.8606280913516264,2.440050322389471,5.5647526554446065,0.026527624835652176,8,11,1381,76,COMPLETE
32,404807.6618818694,2025-10-12 17:30:41.639557,2025-10-12 17:30:45.259775,0 days 00:00:03.620218,0.572258347893049,5,gbdt,72,0.9038601076261824,3.4358271733831307,4.295600264070999,0.035895116964124396,9,15,1293,15,COMPLETE
33,416375.3464921836,2025-10-12 17:30:45.260341,2025-10-12 17:30:48.342014,0 days 00:00:03.081673,0.525842537997304,6,gbdt,72,0.9165763846397118,3.4374360265662833,7.419945128042418,0.0694773395277886,9,21,1295,16,COMPLETE
34,406414.731869915,2025-10-12 17:30:48.342558,2025-10-12 17:30:51.539670,0 days 00:00:03.197112,0.6159857817062586,1,gbdt,80,0.9222410904897853,5.844760097247515,4.4505027063810765,0.04210098370103463,10,17,1404,16,COMPLETE
35,487651.4737334883,2025-10-12 17:30:51.540281,2025-10-12 17:30:53.070741,0 days 00:00:01.530460,0.5685239377663059,5,gbdt,74,0.837693152644363,2.8109347512979452,6.030616274673288,0.01712332430191633,7,15,167,26,COMPLETE
36,9134199.925440941,2025-10-12 17:30:53.071312,2025-10-12 17:31:04.915662,0 days 00:00:11.844350,0.610799498576786,2,dart,63,0.9743934506620027,0.705813260461202,6.34658702837827,0.05297375507284965,11,32,939,49,COMPLETE
37,416188.78124715225,2025-10-12 17:31:04.916256,2025-10-12 17:31:09.521145,0 days 00:00:04.604889,0.6431502278703252,6,gbdt,69,0.7789467546517386,1.5249510265773667,3.54589496730872,0.02265850191396734,6,25,856,35,COMPLETE
38,488562.519482136,2025-10-12 17:31:09.521865,2025-10-12 17:31:13.201213,0 days 00:00:03.679348,0.6865225323580224,1,gbdt,84,0.8958968114671322,4.785402216150737,8.23874158914747,0.012263930696969117,12,99,1179,63,COMPLETE
39,411745.6991876139,2025-10-12 17:31:13.201792,2025-10-12 17:31:17.073453,0 days 00:00:03.871661,0.5414300956659566,5,gbdt,90,0.9466602977687463,3.589670200015908,5.323230115305003,0.02824295297621315,9,15,419,56,COMPLETE
40,1077556.1772942056,2025-10-12 17:31:17.074068,2025-10-12 17:31:30.261108,0 days 00:00:13.187040,0.6265974961712651,8,dart,46,0.9338780086851438,0.05017320803060121,0.9119242516178674,0.015061364653572227,7,80,1046,22,COMPLETE
41,403987.47710944567,2025-10-12 17:31:30.261717,2025-10-12 17:31:35.795491,0 days 00:00:05.533774,0.6018478737048056,1,gbdt,80,0.9275124032434996,6.0005686266440605,4.321030879763067,0.035416093952542776,10,16,1421,16,COMPLETE
42,402290.8407736529,2025-10-12 17:31:35.796053,2025-10-12 17:31:41.715070,0 days 00:00:05.919017,0.593606395505568,1,gbdt,77,0.9986156206915907,6.441545439058192,4.464870199285054,0.03533246802507981,10,14,1428,29,COMPLETE
43,408830.71562290227,2025-10-12 17:31:41.715771,2025-10-12 17:31:47.405219,0 days 00:00:05.689448,0.600019911908149,1,gbdt,76,0.8388345189282869,6.824052257962359,4.612314426279593,0.06451016153920638,12,20,1324,30,COMPLETE
44,419380.6035264406,2025-10-12 17:31:47.405956,2025-10-12 17:31:50.238827,0 days 00:00:02.832871,0.5848955958403778,2,gbdt,95,0.9647040720761266,7.73848528282251,3.3384855668497093,0.08912646954935681,10,28,1423,15,COMPLETE
45,407287.66139616637,2025-10-12 17:31:50.239375,2025-10-12 17:31:55.794258,0 days 00:00:05.554883,0.5009142393601336,1,gbdt,82,0.8654244755910887,6.639361287366704,5.752008758979207,0.048732110049623294,13,15,1426,21,COMPLETE
46,404267.7139904051,2025-10-12 17:31:55.794905,2025-10-12 17:32:02.742297,0 days 00:00:06.947392,0.7400702324273768,2,gbdt,74,0.9303255088480092,6.0202950908590624,4.318289321300952,0.03715357718697726,11,23,1196,31,COMPLETE
47,409438.8942406692,2025-10-12 17:32:02.742900,2025-10-12 17:32:10.140374,0 days 00:00:07.397474,0.7452571801074355,2,gbdt,75,0.7573244476305847,6.167142277093744,4.347126351994688,0.03567839253989454,12,25,1194,29,COMPLETE
48,4110035.709357666,2025-10-12 17:32:10.140994,2025-10-12 17:32:23.867552,0 days 00:00:13.726558,0.7438678588144226,1,dart,71,0.8997536648111193,7.753128857099134,3.5795195548449565,0.04035232327167073,11,15,1075,36,COMPLETE
49,413617.72911603976,2025-10-12 17:32:23.868176,2025-10-12 17:32:30.581436,0 days 00:00:06.713260,0.8103089765973749,2,gbdt,89,0.809648334880671,5.595314644529622,3.874559703135296,0.033979238621237154,13,36,989,21,COMPLETE
